Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Antlr 3.5.0.2,,,,,"Antlr, 3.5.0.2  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,EntityFramework 6.3.0,,,,,"EntityFramework, 6.3.0  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.1"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,EntityFramework.SqlServerCompact 6.3.0,,,,,"EntityFramework.SqlServerCompact, 6.3.0  Recommendation:  EntityFramework.SqlServerCompact, 4.3.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Microsoft.AspNet.Mvc 5.2.7,,,,,"Microsoft.AspNet.Mvc, 5.2.7  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Microsoft.AspNet.Razor 3.2.7,,,,,"Microsoft.AspNet.Razor, 3.2.7  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Microsoft.AspNet.WebPages 3.2.7,,,,,"Microsoft.AspNet.WebPages, 3.2.7  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Microsoft.CodeDom.Providers.DotNetCompilerPlatform 2.0.0,,,,,"Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 2.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Microsoft.SqlServer.Compact 4.0.8876.1,,,,,"Microsoft.SqlServer.Compact, 4.0.8876.1  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,Newtonsoft.Json 11.0.1,,,,,"Newtonsoft.Json, 11.0.1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,MvcMusicStore.csproj,File,MvcMusicStore.csproj,,,EntityFramework 6.3.0,,,,,"EntityFramework, 6.3.0  Recommendation:  Should be replaced. Remove EntityFramework, and replace with new package EntityFramework, 6.5.1"
